class,directoryname,directorypath,numclips
Normal,Normal_234,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_234,180
Normal,Normal_237,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_237,107
Normal,Normal_239,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_239,180
Normal,Normal_246,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_246,180
Normal,Normal_247,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_247,180
Normal,Normal_253,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_253,32
Normal,Normal_255,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_255,180
Normal,Normal_283,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_283,180
Normal,Normal_289,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_289,53
Normal,Normal_299,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_299,88
Normal,Normal_303,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_303,180
Normal,Normal_305,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_305,159
Normal,Normal_306,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_306,180
Normal,Normal_312,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_312,78
Normal,Normal_313,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_313,81
Normal,Normal_314,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_314,70
Normal,Normal_317,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_317,58
Normal,Normal_318,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_318,81
Normal,Normal_323,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_323,180
Normal,Normal_335,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_335,180
Normal,Normal_341,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_341,55
Normal,Normal_342,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_342,180
Normal,Normal_344,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_344,13
Normal,Normal_345,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_345,13
Normal,Normal_346,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_346,180
Normal,Normal_349,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_349,180
Normal,Normal_350,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_350,90
Normal,Normal_353,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_353,75
Normal,Normal_354,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_354,112
Normal,Normal_360,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_360,61
Normal,Normal_361,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_361,88
Normal,Normal_365,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_365,180
Normal,Normal_370,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_370,180
Normal,Normal_371,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_371,180
Normal,Normal_375,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_375,180
Normal,Normal_399,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_399,180
Normal,Normal_401,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_401,101
Normal,Normal_402,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_402,36
Normal,Normal_403,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_403,25
Normal,Normal_411,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_411,57
Normal,Normal_416,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_416,84
Normal,Normal_417,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_417,67
Normal,Normal_439,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_439,180
Normal,Normal_445,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_445,132
Normal,Normal_446,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_446,30
Normal,Normal_450,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_450,180
Normal,Normal_452,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_452,27
Normal,Normal_453,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_453,180
Normal,Normal_454,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_454,113
Normal,Normal_455,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_455,35
Normal,Normal_456,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_456,180
Normal,Normal_457,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_457,109
Normal,Normal_458,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_458,180
Normal,Normal_459,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_459,180
Normal,Normal_460,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_460,180
Normal,Normal_465,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_465,180
Normal,Normal_498,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_498,180
Normal,Normal_508,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_508,88
Normal,Normal_509,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_509,43
Normal,Normal_512,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_512,180
Normal,Normal_523,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_523,26
Normal,Normal_530,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_530,180
Normal,Normal_547,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_547,180
Normal,Normal_566,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_566,180
Normal,Normal_570,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_570,52
Normal,Normal_579,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_579,180
Normal,Normal_585,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_585,111
Normal,Normal_597,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_597,139
Normal,Normal_598,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_598,180
Normal,Normal_599,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_599,148
Normal,Normal_605,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_605,180
Normal,Normal_612,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_612,180
Normal,Normal_613,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_613,180
Normal,Normal_619,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_619,180
Normal,Normal_620,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_620,180
Normal,Normal_641,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_641,180
Normal,Normal_654,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_654,160
Normal,Normal_666,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_666,180
Normal,Normal_670,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_670,180
Normal,Normal_674,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_674,180
Normal,Normal_677,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_677,163
Normal,Normal_678,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_678,138
Normal,Normal_681,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_681,180
Normal,Normal_682,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_682,180
Normal,Normal_687,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_687,180
Normal,Normal_688,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_688,180
Normal,Normal_689,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_689,180
Normal,Normal_694,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_694,180
Normal,Normal_695,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_695,180
Normal,Normal_699,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_699,108
Normal,Normal_706,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_706,56
Normal,Normal_707,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_707,125
Normal,Normal_711,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_711,97
Normal,Normal_722,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_722,180
Normal,Normal_726,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_726,107
Normal,Normal_745,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_745,19
Normal,Normal_753,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_753,55
Normal,Normal_754,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_754,101
Normal,Normal_758,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_758,99
Normal,Normal_759,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_759,55
Normal,Normal_772,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_772,83
Normal,Normal_795,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_795,180
Normal,Normal_801,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_801,171
Normal,Normal_819,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_819,180
Normal,Normal_820,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_820,41
Normal,Normal_846,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_846,113
Normal,Normal_854,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_854,180
Normal,Normal_855,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_855,180
Normal,Normal_859,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_859,45
Normal,Normal_861,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_861,89
Normal,Normal_881,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_881,14
Normal,Normal_885,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_885,29
Normal,Normal_929,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_929,57
Normal,Normal_945,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_945,180
Normal,Normal_946,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_946,180
Normal,Normal_947,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_947,180
Normal,Normal_948,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_948,180
Normal,Normal_949,data/interim/clips_original_len16_seg180_uniform/Normal/Normal_949,69
Robbery,Robbery_001,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_001,61
Robbery,Robbery_002,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_002,180
Robbery,Robbery_003,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_003,61
Robbery,Robbery_004,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_004,95
Robbery,Robbery_005,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_005,159
Robbery,Robbery_006,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_006,180
Robbery,Robbery_007,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_007,129
Robbery,Robbery_008,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_008,141
Robbery,Robbery_009,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_009,180
Robbery,Robbery_010,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_010,180
Robbery,Robbery_011,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_011,81
Robbery,Robbery_012,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_012,46
Robbery,Robbery_013,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_013,180
Robbery,Robbery_014,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_014,180
Robbery,Robbery_015,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_015,171
Robbery,Robbery_016,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_016,103
Robbery,Robbery_017,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_017,180
Robbery,Robbery_018,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_018,179
Robbery,Robbery_019,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_019,180
Robbery,Robbery_020,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_020,180
Robbery,Robbery_021,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_021,180
Robbery,Robbery_022,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_022,180
Robbery,Robbery_023,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_023,69
Robbery,Robbery_024,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_024,149
Robbery,Robbery_025,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_025,91
Robbery,Robbery_026,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_026,180
Robbery,Robbery_027,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_027,180
Robbery,Robbery_028,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_028,146
Robbery,Robbery_030,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_030,180
Robbery,Robbery_033,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_033,59
Robbery,Robbery_034,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_034,180
Robbery,Robbery_035,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_035,180
Robbery,Robbery_036,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_036,180
Robbery,Robbery_037,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_037,180
Robbery,Robbery_039,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_039,32
Robbery,Robbery_040,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_040,65
Robbery,Robbery_041,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_041,85
Robbery,Robbery_042,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_042,135
Robbery,Robbery_043,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_043,64
Robbery,Robbery_044,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_044,29
Robbery,Robbery_045,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_045,180
Robbery,Robbery_046,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_046,53
Robbery,Robbery_047,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_047,95
Robbery,Robbery_048,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_048,88
Robbery,Robbery_049,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_049,123
Robbery,Robbery_051,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_051,99
Robbery,Robbery_054,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_054,123
Robbery,Robbery_055,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_055,178
Robbery,Robbery_056,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_056,172
Robbery,Robbery_057,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_057,134
Robbery,Robbery_058,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_058,109
Robbery,Robbery_059,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_059,180
Robbery,Robbery_060,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_060,131
Robbery,Robbery_061,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_061,180
Robbery,Robbery_062,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_062,180
Robbery,Robbery_064,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_064,88
Robbery,Robbery_065,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_065,149
Robbery,Robbery_066,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_066,180
Robbery,Robbery_067,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_067,180
Robbery,Robbery_068,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_068,24
Robbery,Robbery_069,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_069,43
Robbery,Robbery_070,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_070,36
Robbery,Robbery_071,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_071,97
Robbery,Robbery_073,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_073,180
Robbery,Robbery_074,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_074,49
Robbery,Robbery_075,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_075,176
Robbery,Robbery_077,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_077,71
Robbery,Robbery_079,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_079,46
Robbery,Robbery_081,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_081,180
Robbery,Robbery_083,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_083,60
Robbery,Robbery_084,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_084,175
Robbery,Robbery_085,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_085,117
Robbery,Robbery_086,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_086,180
Robbery,Robbery_087,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_087,62
Robbery,Robbery_088,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_088,180
Robbery,Robbery_090,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_090,180
Robbery,Robbery_091,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_091,119
Robbery,Robbery_092,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_092,53
Robbery,Robbery_093,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_093,73
Robbery,Robbery_094,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_094,180
Robbery,Robbery_097,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_097,180
Robbery,Robbery_098,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_098,180
Robbery,Robbery_099,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_099,100
Robbery,Robbery_100,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_100,180
Robbery,Robbery_101,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_101,180
Robbery,Robbery_103,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_103,136
Robbery,Robbery_105,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_105,116
Robbery,Robbery_108,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_108,86
Robbery,Robbery_109,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_109,180
Robbery,Robbery_110,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_110,159
Robbery,Robbery_111,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_111,180
Robbery,Robbery_113,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_113,50
Robbery,Robbery_114,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_114,129
Robbery,Robbery_115,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_115,114
Robbery,Robbery_116,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_116,28
Robbery,Robbery_117,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_117,180
Robbery,Robbery_119,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_119,180
Robbery,Robbery_120,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_120,60
Robbery,Robbery_121,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_121,87
Robbery,Robbery_122,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_122,64
Robbery,Robbery_123,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_123,67
Robbery,Robbery_124,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_124,180
Robbery,Robbery_125,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_125,180
Robbery,Robbery_126,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_126,97
Robbery,Robbery_127,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_127,78
Robbery,Robbery_128,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_128,180
Robbery,Robbery_129,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_129,140
Robbery,Robbery_130,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_130,114
Robbery,Robbery_131,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_131,94
Robbery,Robbery_132,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_132,41
Robbery,Robbery_133,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_133,111
Robbery,Robbery_134,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_134,39
Robbery,Robbery_135,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_135,180
Robbery,Robbery_136,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_136,69
Robbery,Robbery_137,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_137,137
Robbery,Robbery_138,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_138,38
Robbery,Robbery_139,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_139,61
Robbery,Robbery_140,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_140,66
Robbery,Robbery_141,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_141,180
Robbery,Robbery_142,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_142,156
Robbery,Robbery_143,data/interim/clips_original_len16_seg180_uniform/Robbery/Robbery_143,48
