class,directoryname,directorypath,numclips
Robbery,Robbery_115,data/interim/clips_original_04/Robbery/Robbery_115,180
Robbery,Robbery_116,data/interim/clips_original_04/Robbery/Robbery_116,55
Robbery,Robbery_117,data/interim/clips_original_04/Robbery/Robbery_117,180
Robbery,Robbery_119,data/interim/clips_original_04/Robbery/Robbery_119,180
Robbery,Robbery_120,data/interim/clips_original_04/Robbery/Robbery_120,119
Robbery,Robbery_121,data/interim/clips_original_04/Robbery/Robbery_121,174
Robbery,Robbery_122,data/interim/clips_original_04/Robbery/Robbery_122,127
Robbery,Robbery_123,data/interim/clips_original_04/Robbery/Robbery_123,134
Robbery,Robbery_124,data/interim/clips_original_04/Robbery/Robbery_124,180
Robbery,Robbery_125,data/interim/clips_original_04/Robbery/Robbery_125,180
Robbery,Robbery_126,data/interim/clips_original_04/Robbery/Robbery_126,180
Robbery,Robbery_127,data/interim/clips_original_04/Robbery/Robbery_127,156
Robbery,Robbery_128,data/interim/clips_original_04/Robbery/Robbery_128,180
Robbery,Robbery_129,data/interim/clips_original_04/Robbery/Robbery_129,180
Robbery,Robbery_130,data/interim/clips_original_04/Robbery/Robbery_130,180
Robbery,Robbery_131,data/interim/clips_original_04/Robbery/Robbery_131,180
Robbery,Robbery_132,data/interim/clips_original_04/Robbery/Robbery_132,81
Robbery,Robbery_133,data/interim/clips_original_04/Robbery/Robbery_133,180
Robbery,Robbery_134,data/interim/clips_original_04/Robbery/Robbery_134,77
Robbery,Robbery_135,data/interim/clips_original_04/Robbery/Robbery_135,180
Robbery,Robbery_136,data/interim/clips_original_04/Robbery/Robbery_136,137
Robbery,Robbery_137,data/interim/clips_original_04/Robbery/Robbery_137,180
Robbery,Robbery_138,data/interim/clips_original_04/Robbery/Robbery_138,76
Robbery,Robbery_139,data/interim/clips_original_04/Robbery/Robbery_139,121
Robbery,Robbery_140,data/interim/clips_original_04/Robbery/Robbery_140,132
Robbery,Robbery_141,data/interim/clips_original_04/Robbery/Robbery_141,180
Robbery,Robbery_142,data/interim/clips_original_04/Robbery/Robbery_142,180
Robbery,Robbery_143,data/interim/clips_original_04/Robbery/Robbery_143,95
Robbery,Robbery_144,data/interim/clips_original_04/Robbery/Robbery_144,99
Robbery,Robbery_145,data/interim/clips_original_04/Robbery/Robbery_145,166
Robbery,Robbery_146,data/interim/clips_original_04/Robbery/Robbery_146,180
Robbery,Robbery_147,data/interim/clips_original_04/Robbery/Robbery_147,108
Robbery,Robbery_149,data/interim/clips_original_04/Robbery/Robbery_149,156
